Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
2010,.72,.90,.55,1.03,.68,.48,2.22,.86,.74,.72,.65,.63,.20,.54
2011,.61,.74,.47,.98,.37,.56,2.32,.94,.58,.38,.35,.64,.18,1.10
2012,.65,.81,.48,1.04,.52,.42,2.18,.93,.74,.47,.56,.56,.19,.44
2013,.68,.80,.55,.95,.58,.54,1.54,1.04,.70,.58,.57,.62,.22,.87
2014,.74,.92,.57,1.08,.66,.52,2.03,1.14,.73,.69,.64,.72,.18,.55
2015,.90,1.18,.62,1.32,.95,.40,2.02,1.48,1.00,.97,.93,.75,.18,-.30
2016,1.02,1.31,.73,1.55,1.01,.49,3.27,1.43,1.08,.95,1.06,.67,.25,.39
2017,.92,1.17,.67,1.39,.81,.60,2.52,1.38,1.04,.86,.77,.76,.35,.55
2018,.85,1.03,.66,1.25,.67,.68,2.15,1.09,1.06,.72,.62,.80,.37,.96
2019,.98,1.21,.75,1.42,.89,.65,2.73,1.43,1.00,.89,.89,.75,.39,.84
2020,1.01,1.35,.68,1.67,.85,.57,2.88,1.82,1.19,.87,.83,.58,.39,.88
2021,.85,1.14,.55,1.43,.65,.53,2.06,1.36,1.26,.72,.58,.72,.32,.29
2022,.89,1.16,.62,1.52,.56,.70,2.34,1.51,1.27,.62,.50,.79,.39,1.08
2023,1.17,1.49,.85,1.78,1.05,.71,2.56,1.87,1.47,1.07,1.03,.91,.44,.61
